month,region,property_type,avg_price,avg_rent,sales_volume,inventory,construction_permits,employment_growth,interest_rate,median_income
2022-02-01,Toronto,Detached,1024476.45,5172.99,682,2011,827,-0.0006,0.0266,98429.55
2022-03-01,Toronto,Detached,1024196.1,4149.34,649,1995,409,0.0084,0.0194,98668.22
2022-04-01,Toronto,Detached,1034909.65,3676.59,956,1989,453,0.0134,0.0194,97076.18
2022-05-01,Toronto,Detached,1039735.68,5075.91,680,2008,514,0.0063,0.0272,98115.93
2022-06-01,Toronto,Detached,1021619.79,4898.39,1068,2169,323,-0.0017,0.0254,97028.56
2022-07-01,Toronto,Detached,1022347.83,4193.56,1108,2094,465,0.0084,0.0268,97861.97
2022-08-01,Toronto,Detached,1016836.61,3559.92,1056,2235,407,0.0001,0.0253,98709.4
2022-09-01,Toronto,Detached,999244.83,4830.9,940,2450,307,0.0088,0.0247,97692.64
2022-10-01,Toronto,Detached,1000720.15,3889.37,946,2633,305,-0.0031,0.026,96256.28
2022-11-01,Toronto,Detached,977686.0,3669.19,822,2488,739,-0.0057,0.0213,97670.87
2022-12-01,Toronto,Detached,995214.92,5400.82,691,2532,387,-0.0057,0.0284,97521.94
2023-01-01,Toronto,Detached,981860.9,4539.1,936,2391,579,0.0035,0.0262,99290.13
2023-02-01,Toronto,Detached,991847.95,5120.01,801,2308,346,0.0102,0.026,99034.46
2023-03-01,Toronto,Detached,981945.11,4968.43,914,2370,473,-0.0092,0.0266,99574.86
2023-04-01,Toronto,Detached,957678.33,3557.39,1022,2441,330,0.0024,0.0242,100736.14
2023-05-01,Toronto,Detached,974500.41,4995.51,547,2824,472,0.0084,0.0246,101094.86
2023-06-01,Toronto,Detached,1002725.31,3995.98,1049,2826,449,0.0076,0.0271,99919.56
2023-07-01,Toronto,Detached,1003081.47,5845.74,708,2812,521,0.006,0.0285,101330.73
2023-08-01,Toronto,Detached,1023399.82,4587.93,1150,3046,416,0.0096,0.0265,101509.35
2023-09-01,Toronto,Detached,1030302.75,6009.77,648,3131,393,-0.0002,0.0274,100175.5
2023-10-01,Toronto,Detached,1016441.36,5375.71,461,3197,219,0.0021,0.0236,101843.82
2023-11-01,Toronto,Detached,1033219.22,3967.23,1135,3155,534,0.0003,0.0292,101060.23
2023-12-01,Toronto,Detached,1045758.19,5293.88,917,3146,594,-0.0008,0.0256,99092.69
2024-01-01,Toronto,Detached,1075894.69,4662.54,964,2937,387,0.0054,0.0281,102823.01
2024-02-01,Toronto,Detached,1065390.63,4639.0,631,2862,589,0.0092,0.0265,103910.41
2024-03-01,Toronto,Detached,1080079.71,5129.84,668,2789,346,0.0033,0.0286,102885.02
2024-04-01,Toronto,Detached,1091329.93,6142.4,1181,2690,496,0.0057,0.0265,102999.87
2024-05-01,Toronto,Detached,1083044.77,6101.73,350,2549,793,0.0062,0.0256,103245.43
2024-06-01,Toronto,Detached,1061474.49,3957.25,904,2445,554,0.0004,0.0242,103109.14
2024-07-01,Toronto,Detached,1051178.39,4761.05,462,2462,477,0.0039,0.0269,103355.75
2024-08-01,Toronto,Detached,1003823.28,4482.69,960,2370,649,-0.0021,0.0248,103516.56
2024-09-01,Toronto,Detached,996887.66,4407.23,773,2492,403,0.0087,0.0254,101992.77
2024-10-01,Toronto,Detached,1010395.47,5355.77,762,2463,556,0.0036,0.0237,101236.95
2024-11-01,Toronto,Detached,1040006.35,4248.48,1202,2477,455,0.008,0.0279,102050.61
2024-12-01,Toronto,Detached,1030880.59,4475.9,1079,2403,595,0.0093,0.0311,104370.31
2025-01-01,Toronto,Detached,1004209.54,4231.16,901,2517,212,-0.0092,0.0267,106649.23
2025-02-01,Toronto,Detached,996445.5,5216.87,405,2635,302,0.0015,0.0252,106199.69
2025-03-01,Toronto,Detached,971801.12,4983.78,910,2678,616,-0.002,0.0266,104492.18
2025-04-01,Toronto,Detached,943014.04,5645.29,1366,2609,563,-0.0116,0.0265,105507.03
2025-05-01,Toronto,Detached,937680.27,3884.87,1222,2549,349,0.0004,0.0255,106886.51
2025-06-01,Toronto,Detached,947229.21,5329.15,929,2416,539,-0.0015,0.029,105298.86
2025-07-01,Toronto,Detached,945954.49,3279.69,813,2402,528,-0.0035,0.0251,106115.86
2025-08-01,Toronto,Detached,938907.47,4991.57,1091,2403,534,0.0034,0.0276,104925.34
2025-09-01,Toronto,Detached,944919.72,4274.14,632,2331,501,-0.0024,0.0246,106345.96
2025-10-01,Toronto,Detached,950662.12,4004.53,757,2427,450,0.0038,0.0269,106178.02
2025-11-01,Toronto,Detached,955678.7,4010.17,978,2447,273,0.0026,0.0268,104533.18
2025-12-01,Toronto,Detached,962938.87,4490.7,840,2375,480,0.0006,0.0282,104612.64
2026-01-01,Toronto,Detached,954240.37,4798.17,842,2351,622,0.0066,0.0302,105706.92
2026-02-01,Toronto,Detached,935285.29,3731.42,874,2211,628,-0.0003,0.0279,107904.48
2026-03-01,Toronto,Detached,923777.22,4178.75,825,2355,397,0.0023,0.0282,109386.2
2026-04-01,Toronto,Detached,951979.19,5546.13,699,2365,599,0.0053,0.0277,106125.54
2026-05-01,Toronto,Detached,952467.27,4587.48,930,2584,418,0.0062,0.0325,107741.98
2026-06-01,Toronto,Detached,954881.29,4051.39,1089,2888,472,-0.0096,0.0293,108241.15
2022-01-01,Toronto,Townhouse,775889.87,3481.18,603,2506,284,0.0032,0.027,97372.66
2022-02-01,Toronto,Townhouse,791829.68,3742.44,803,2425,360,-0.0024,0.0239,97197.85
2022-03-01,Toronto,Townhouse,810985.99,2958.38,944,2533,567,-0.0015,0.0274,97269.24
2022-04-01,Toronto,Townhouse,814138.32,3582.65,719,2419,443,-0.0084,0.026,97480.09
2022-05-01,Toronto,Townhouse,816958.32,3260.32,1487,2334,310,0.0095,0.0229,97865.84
2022-06-01,Toronto,Townhouse,827481.17,4603.41,811,2115,581,0.0067,0.0265,99047.89
2022-07-01,Toronto,Townhouse,825987.43,3798.22,863,1926,442,0.001,0.0266,97834.34
2022-08-01,Toronto,Townhouse,824896.45,3147.43,803,1827,698,0.0066,0.0288,98033.33
2022-09-01,Toronto,Townhouse,821082.73,4686.13,914,1806,529,0.0045,0.0254,99026.58
2022-10-01,Toronto,Townhouse,832451.1,4368.22,886,1988,412,-0.0034,0.0232,99066.08
2022-11-01,Toronto,Townhouse,839644.43,4837.51,848,1729,568,0.0086,0.0265,97470.83
2022-12-01,Toronto,Townhouse,847643.54,4263.91,763,1965,512,-0.0018,0.027,97446.72
2023-01-01,Toronto,Townhouse,855673.74,4263.52,1144,2130,616,0.005,0.0267,99327.82
2023-02-01,Toronto,Townhouse,846748.32,4012.42,694,2122,441,0.0059,0.0273,100738.81
2023-03-01,Toronto,Townhouse,843372.66,3595.56,1125,2272,660,-0.0037,0.026,100066.95
2023-04-01,Toronto,Townhouse,829153.78,3614.69,1241,2472,710,0.0056,0.0306,100026.01
2023-05-01,Toronto,Townhouse,832470.02,3379.86,882,2549,400,0.0095,0.0293,99786.11
2023-06-01,Toronto,Townhouse,859543.3,3465.46,898,2668,670,0.0073,0.0241,99649.66
2023-07-01,Toronto,Townhouse,849191.26,3594.21,851,2685,390,0.0046,0.0238,101020.76
2023-08-01,Toronto,Townhouse,840849.71,4028.92,1086,2524,695,0.0101,0.022,100039.99
2023-09-01,Toronto,Townhouse,855983.15,4903.62,912,2589,444,0.0028,0.0276,102110.61
2023-10-01,Toronto,Townhouse,846555.28,4268.89,1026,2664,854,0.0034,0.0254,99692.39
2023-11-01,Toronto,Townhouse,836383.6,3718.47,893,2434,422,-0.0007,0.0232,99218.89
2023-12-01,Toronto,Townhouse,843112.68,4337.51,1021,2269,290,-0.0055,0.0242,99281.69
2024-01-01,Toronto,Townhouse,855619.07,4462.17,798,2225,330,0.0022,0.0258,101825.94
2024-02-01,Toronto,Townhouse,854719.51,4760.56,307,2440,676,-0.0004,0.0279,102485.95
2024-03-01,Toronto,Townhouse,862576.39,2911.89,882,2094,674,-0.003,0.0269,101943.15
2024-04-01,Toronto,Townhouse,859402.32,3666.39,648,1998,312,-0.005,0.0231,101449.2
2024-05-01,Toronto,Townhouse,873276.45,4762.11,905,2095,642,0.0009,0.0287,104562.52
2024-06-01,Toronto,Townhouse,844348.89,3669.72,1241,2324,720,0.0001,0.0263,99709.6
2024-07-01,Toronto,Townhouse,847647.4,4427.41,843,2519,507,0.0064,0.0269,103442.53
2024-08-01,Toronto,Townhouse,861830.07,3791.43,619,2633,516,0.0041,0.0277,103616.1
2024-09-01,Toronto,Townhouse,874118.75,3417.61,774,2497,478,0.0074,0.0242,102474.31
2024-10-01,Toronto,Townhouse,882095.25,3224.86,1396,2406,548,0.0035,0.0275,103371.73
2024-11-01,Toronto,Townhouse,890343.76,4604.03,808,2591,404,0.0089,0.0292,101947.03
2024-12-01,Toronto,Townhouse,903178.03,4230.84,687,2574,569,0.0103,0.0289,102797.32
2025-01-01,Toronto,Townhouse,884566.13,3555.17,406,2391,709,0.0007,0.0281,103644.55
2025-02-01,Toronto,Townhouse,893302.81,4226.38,715,2416,461,0.0053,0.0279,104635.57
2025-03-01,Toronto,Townhouse,884254.53,4467.98,157,2356,687,0.0059,0.0248,103894.55
2025-04-01,Toronto,Townhouse,903251.35,5450.95,982,2371,804,0.0129,0.0246,106225.22
2025-05-01,Toronto,Townhouse,878167.66,4063.14,496,2496,534,-0.0114,0.0301,105578.58
2025-06-01,Toronto,Townhouse,875717.42,5119.46,918,2403,346,-0.0019,0.029,105459.8
2025-07-01,Toronto,Townhouse,874536.83,3986.72,881,2420,384,-0.0045,0.0275,104816.43
2025-08-01,Toronto,Townhouse,896670.37,4712.48,859,2423,406,0.0047,0.0298,104634.55
2025-09-01,Toronto,Townhouse,913493.32,3911.98,881,2508,355,0.0024,0.0247,104024.11
2025-10-01,Toronto,Townhouse,928206.6,4725.05,912,2616,563,0.0044,0.0274,104900.02
2025-11-01,Toronto,Townhouse,921164.54,5106.29,1310,2655,512,0.008,0.0267,106330.09
2025-12-01,Toronto,Townhouse,952179.22,4039.28,820,2552,551,0.0088,0.0281,104878.92
2026-01-01,Toronto,Townhouse,960465.84,4912.71,785,2553,631,-0.0007,0.0323,106221.72
2026-02-01,Toronto,Townhouse,994728.19,4579.27,783,2668,397,0.0074,0.0282,108345.77
2026-03-01,Toronto,Townhouse,1005465.8,3286.64,526,2606,623,-0.0029,0.0296,107433.58
2026-04-01,Toronto,Townhouse,993816.86,5244.03,890,2734,440,0.0056,0.0252,108099.56
2026-05-01,Toronto,Townhouse,984566.34,3737.69,985,2471,551,0.0092,0.0309,107458.95
2026-06-01,Toronto,Townhouse,1015828.0,4641.29,568,2242,452,0.0076,0.025,109402.45
2022-01-01,Ottawa,Condo,465196.79,2318.46,1364,3775,221,0.0091,0.0232,92125.57
2022-02-01,Ottawa,Condo,462729.99,1971.13,895,3887,524,-0.002,0.0243,92552.58
2022-03-01,Ottawa,Condo,475815.17,1676.94,852,3711,462,0.0039,0.0272,92185.89
2022-04-01,Ottawa,Condo,462621.11,2536.55,493,3695,611,-0.0034,0.0257,91592.31
2022-05-01,Ottawa,Condo,454678.68,1997.59,1227,3883,696,-0.0075,0.0236,93503.97
2022-06-01,Ottawa,Condo,458815.1,2209.08,605,4063,356,-0.0024,0.0243,92533.28
2022-07-01,Ottawa,Condo,470855.18,1949.12,795,3910,498,0.0081,0.028,90624.96
2022-08-01,Ottawa,Condo,466326.52,1991.36,1112,3798,624,0.0004,0.025,90885.49
2022-09-01,Ottawa,Condo,476862.22,1807.62,499,3629,506,0.0013,0.0259,92679.4
2022-10-01,Ottawa,Condo,479332.7,2192.58,927,3485,350,0.0058,0.0244,91340.48
2022-11-01,Ottawa,Condo,467493.49,1993.2,833,3380,314,0.0006,0.0244,91739.69
2022-12-01,Ottawa,Condo,470021.75,1701.57,1041,3477,616,-0.0016,0.0209,92113.06
2023-01-01,Ottawa,Condo,460869.92,1900.84,1028,3234,421,-0.0036,0.0303,94946.32
2023-02-01,Ottawa,Condo,475367.9,2760.14,1140,3071,221,0.0053,0.0265,95060.09
2023-03-01,Ottawa,Condo,474000.18,2111.43,930,3237,887,0.0079,0.0234,93208.09
2023-04-01,Ottawa,Condo,476929.3,2159.05,1202,3299,538,0.0006,0.0259,96149.57
2023-05-01,Ottawa,Condo,475965.37,3143.82,669,3350,205,-0.0015,0.0283,96673.1
2023-06-01,Ottawa,Condo,475891.84,1670.36,1286,3505,478,-0.0071,0.0238,93523.34
2023-07-01,Ottawa,Condo,470970.86,2656.81,1065,3306,564,-0.0141,0.0228,94454.1
2023-08-01,Ottawa,Condo,468999.09,2141.83,895,3228,579,0.0002,0.0271,93799.38
2023-09-01,Ottawa,Condo,484604.01,2308.3,1349,3458,663,0.01,0.0277,94127.06
2023-10-01,Ottawa,Condo,496327.43,2592.75,675,3491,407,0.0158,0.0246,94096.9
2023-11-01,Ottawa,Condo,497348.59,2738.25,884,3477,646,-0.0084,0.0265,94242.89
2023-12-01,Ottawa,Condo,489415.32,2377.45,457,3602,475,-0.0065,0.0248,94481.71
2024-01-01,Ottawa,Condo,496543.04,2234.3,716,3645,416,0.0001,0.0301,95697.65
2024-02-01,Ottawa,Condo,496316.69,1716.78,823,3693,811,0.0062,0.028,96669.76
2024-03-01,Ottawa,Condo,496132.22,2434.11,602,3896,398,0.0071,0.0248,95804.75
2024-04-01,Ottawa,Condo,482823.35,2113.74,895,3955,147,0.0025,0.0255,96202.09
2024-05-01,Ottawa,Condo,472468.57,2104.47,934,4115,209,-0.0045,0.0263,97911.31
2024-06-01,Ottawa,Condo,479166.98,1646.32,918,4085,363,0.0027,0.0258,97590.88
2024-07-01,Ottawa,Condo,473004.68,2004.47,571,4002,391,-0.0004,0.0281,97196.06
2024-08-01,Ottawa,Condo,485978.32,2077.0,770,4088,418,0.0085,0.0272,96484.52
2024-09-01,Ottawa,Condo,481673.2,1382.63,197,4152,643,-0.0025,0.0272,96888.57
2024-10-01,Ottawa,Condo,480813.42,2676.65,1374,4142,295,0.0015,0.0275,97200.1
2024-11-01,Ottawa,Condo,487119.05,2506.7,1262,4061,189,0.007,0.0291,95944.68
2024-12-01,Ottawa,Condo,481221.45,1778.05,989,3815,493,0.0039,0.0283,96941.41
2025-01-01,Ottawa,Condo,499044.38,1845.1,859,3960,477,0.0245,0.0282,99835.66
2025-02-01,Ottawa,Condo,487402.95,2326.29,511,4044,200,0.0019,0.0293,99211.09
2025-03-01,Ottawa,Condo,489552.11,3206.84,978,3980,539,0.0029,0.0284,99945.94
2025-04-01,Ottawa,Condo,500187.5,1930.43,927,3934,390,0.0057,0.0285,96726.0
2025-05-01,Ottawa,Condo,498781.08,1912.5,1112,3797,868,-0.0014,0.0291,98728.19
2025-06-01,Ottawa,Condo,500693.03,2965.77,923,3771,566,-0.0034,0.0244,99007.7
2025-07-01,Ottawa,Condo,495336.5,2267.14,1049,3635,253,-0.0003,0.0294,100438.56
2025-08-01,Ottawa,Condo,488872.31,1696.81,549,3783,556,-0.0025,0.0296,98171.87
2025-09-01,Ottawa,Condo,483349.96,1892.74,1222,3799,390,-0.0024,0.0289,99109.62
2025-10-01,Ottawa,Condo,479586.76,2086.32,1026,3813,367,-0.0102,0.0233,96896.63
2025-11-01,Ottawa,Condo,483454.83,2284.78,876,3804,625,0.0,0.0241,99113.83
2025-12-01,Ottawa,Condo,493703.59,2147.64,955,4007,299,0.0041,0.0265,99463.19
2026-01-01,Ottawa,Condo,500008.94,2774.55,906,4300,408,-0.0006,0.0294,100488.41
2026-02-01,Ottawa,Condo,495751.19,2702.89,825,4456,583,-0.0021,0.0285,102090.89
2026-03-01,Ottawa,Condo,496634.26,2424.57,1110,4365,466,-0.0047,0.0298,98666.42
2026-04-01,Ottawa,Condo,483473.61,2286.73,1110,4389,481,-0.0093,0.0289,100509.55
2026-05-01,Ottawa,Condo,468560.62,2811.71,543,4232,552,0.0006,0.0276,100281.0
2026-06-01,Ottawa,Condo,469218.4,2219.3,773,4321,403,-0.0032,0.0263,100656.2
2022-01-01,Ottawa,Detached,788743.97,3691.68,946,1088,496,0.0016,0.0274,93184.54
2022-02-01,Ottawa,Detached,781214.55,3892.13,895,989,480,-0.0145,0.025,92027.83
2022-03-01,Ottawa,Detached,759352.56,4127.22,883,874,439,0.0001,0.0245,90363.96
2022-04-01,Ottawa,Detached,751932.42,2686.05,647,866,453,0.0012,0.0223,92257.19
2022-05-01,Ottawa,Detached,765442.14,3076.31,623,855,511,0.0098,0.0256,92793.93
2022-06-01,Ottawa,Detached,772074.29,3639.35,753,880,419,0.0015,0.0256,91024.8
2022-07-01,Ottawa,Detached,771485.73,3060.45,1111,897,214,-0.0027,0.0249,92710.47
2022-08-01,Ottawa,Detached,766276.15,3141.57,514,1010,551,0.0001,0.0287,91730.61
2022-09-01,Ottawa,Detached,752335.75,2931.76,970,894,606,0.0009,0.0254,92280.58
2022-10-01,Ottawa,Detached,753718.02,3434.03,879,839,289,0.0069,0.0285,91718.33
2022-11-01,Ottawa,Detached,748695.1,2785.79,1112,1069,550,0.0001,0.0236,91704.26
2022-12-01,Ottawa,Detached,743023.67,3412.33,879,850,368,-0.0034,0.0269,93352.48
2023-01-01,Ottawa,Detached,736363.79,3504.49,580,710,179,-0.0025,0.0265,94825.06
2023-02-01,Ottawa,Detached,732870.44,3174.82,1289,725,323,-0.008,0.0268,94211.28
2023-03-01,Ottawa,Detached,734177.84,3620.44,926,830,602,0.0016,0.0244,93544.71
2023-04-01,Ottawa,Detached,743084.79,2445.69,1088,993,423,0.023,0.0244,92954.85
2023-05-01,Ottawa,Detached,733831.57,3545.92,1104,1135,465,-0.0043,0.0242,95051.22
2023-06-01,Ottawa,Detached,736143.96,4282.43,1036,1340,378,0.01,0.0255,95820.02
2023-07-01,Ottawa,Detached,718516.29,4422.22,781,1406,400,0.0,0.0226,96391.39
2023-08-01,Ottawa,Detached,724997.18,3125.09,963,1591,464,-0.0027,0.022,92425.55
2023-09-01,Ottawa,Detached,726329.99,2644.68,923,1605,442,0.0046,0.0274,94549.51
2023-10-01,Ottawa,Detached,725984.7,3122.9,972,1473,354,-0.0069,0.0286,94723.21
2023-11-01,Ottawa,Detached,716879.08,2348.98,780,1235,446,-0.0032,0.0225,94337.08
2023-12-01,Ottawa,Detached,723737.92,3148.52,896,1296,879,-0.0007,0.0258,93687.51
2024-01-01,Ottawa,Detached,723065.22,3843.98,818,1211,51,0.0068,0.0287,96038.03
2024-02-01,Ottawa,Detached,726761.15,2669.64,1029,1079,427,0.0067,0.0256,95713.99
2024-03-01,Ottawa,Detached,724530.78,2778.58,580,1447,316,0.0059,0.0278,96998.29
2024-04-01,Ottawa,Detached,737396.81,3202.83,1091,1403,622,-0.0031,0.0259,96305.75
2024-05-01,Ottawa,Detached,741039.25,3012.16,923,1275,566,0.0015,0.026,95994.93
2024-06-01,Ottawa,Detached,741648.57,2981.67,1151,1489,529,0.0007,0.0287,95802.03
2024-07-01,Ottawa,Detached,756430.44,4652.53,551,1635,725,0.0032,0.0284,96700.87
2024-08-01,Ottawa,Detached,747957.45,2524.55,602,1472,371,0.0013,0.0236,96447.46
2024-09-01,Ottawa,Detached,734453.63,3129.2,1104,1611,474,0.0039,0.0282,95387.68
2024-10-01,Ottawa,Detached,736617.96,3182.3,1201,1895,471,-0.0043,0.027,96406.36
2024-11-01,Ottawa,Detached,750160.23,4059.37,996,1838,380,0.0015,0.0278,98142.98
2024-12-01,Ottawa,Detached,733057.81,3089.14,796,1604,238,0.0007,0.024,95642.5
2025-01-01,Ottawa,Detached,740017.92,2940.67,932,1354,458,0.0058,0.0315,97842.57
2025-02-01,Ottawa,Detached,736998.11,3443.3,579,1343,250,-0.0095,0.0308,98957.45
2025-03-01,Ottawa,Detached,731428.66,3755.51,525,1587,522,-0.0036,0.0291,97523.52
2025-04-01,Ottawa,Detached,730294.69,2748.5,1103,1324,390,-0.0054,0.0265,99340.87
2025-05-01,Ottawa,Detached,718986.47,3155.44,857,1498,827,0.003,0.0265,98949.96
2025-06-01,Ottawa,Detached,712020.37,3061.06,145,1422,370,0.0026,0.0269,99662.18
2025-07-01,Ottawa,Detached,730140.23,3139.11,1014,1529,648,0.0151,0.0287,98579.56
2025-08-01,Ottawa,Detached,736961.47,3514.48,1241,1325,614,0.0039,0.0313,99366.58
2025-09-01,Ottawa,Detached,736096.69,2683.25,782,1660,179,-0.0063,0.024,99203.51
2025-10-01,Ottawa,Detached,745407.85,3510.84,571,1583,431,0.0001,0.028,100021.24
2025-11-01,Ottawa,Detached,742079.16,3477.15,919,1768,509,-0.0044,0.0298,99499.83
2025-12-01,Ottawa,Detached,775386.03,3486.59,1001,1710,696,0.006,0.0294,99273.24
2026-01-01,Ottawa,Detached,775893.92,3941.86,900,1787,388,-0.0023,0.0243,102143.97
2026-02-01,Ottawa,Detached,800696.43,2928.92,832,1662,518,0.0081,0.0287,101169.9
2026-03-01,Ottawa,Detached,801707.89,2769.52,805,1708,617,0.0036,0.0244,101418.43
2026-04-01,Ottawa,Detached,815517.51,4131.31,490,1893,577,0.0029,0.0307,101685.78
2026-05-01,Ottawa,Detached,802339.41,3443.59,1554,1839,451,-0.002,0.0298,102564.45
2026-06-01,Ottawa,Detached,812173.45,3154.77,965,1778,726,-0.0012,0.0238,100160.63
2022-01-01,Ottawa,Townhouse,592190.57,1833.42,891,1630,586,0.008,0.0241,92666.5
2022-02-01,Ottawa,Townhouse,575090.26,2476.03,1218,1578,523,-0.0006,0.0269,92512.43
2022-03-01,Ottawa,Townhouse,578015.73,2032.68,852,1753,727,0.0002,0.0241,91172.39
2022-04-01,Ottawa,Townhouse,575186.79,2248.22,555,1609,384,0.0004,0.0257,91499.78
2022-05-01,Ottawa,Townhouse,589954.88,2628.61,883,1844,383,0.0134,0.0256,90787.5
2022-06-01,Ottawa,Townhouse,586394.13,1743.03,506,1658,489,-0.008,0.0244,90446.23
2022-07-01,Ottawa,Townhouse,596859.9,2589.84,1117,1894,553,0.0019,0.0262,93993.93
2022-08-01,Ottawa,Townhouse,602757.77,1679.56,978,1575,384,0.0123,0.027,91652.12
2022-09-01,Ottawa,Townhouse,606728.16,2976.91,887,1608,749,0.0084,0.0251,92014.13
2022-10-01,Ottawa,Townhouse,626465.85,3128.72,624,1709,563,0.0095,0.0283,92320.05
2022-11-01,Ottawa,Townhouse,637722.67,2647.43,1243,1802,116,0.008,0.0278,92261.8
